time,index,Sản xuất Dầu khí,"Thiết bị, Dịch vụ và Phân phối Dầu khí",Hóa chất,Lâm nghiệp và Giấy,Kim loại,Khai khoáng,Xây dựng và Vật liệu,Hàng công nghiệp,Điện tử & Thiết bị điện,Công nghiệp nặng,Vận tải,Tư vấn & Hỗ trợ Kinh doanh,Ô tô và phụ tùng,Bia và đồ uống,Sản xuất thực phẩm,Hàng gia dụng,Hàng hóa giải trí,Hàng cá nhân,Thuốc lá,Thiết bị và Dịch vụ Y tế,Dược phẩm,Phân phối thực phẩm & dược phẩm,Bán lẻ,Truyền thông,Du lịch & Giải trí,Viễn thông cố định,Viễn thông di động,Sản xuất & Phân phối Điện,Nước & Khí đốt,Ngân hàng,Bảo hiểm phi nhân thọ,Bảo hiểm nhân thọ,Bất động sản,Dịch vụ tài chính,Phần mềm & Dịch vụ Máy tính,Thiết bị và Phần cứng
2025-07-03,30227.970999999998,59.172999999999995,271.419,1375.955,382.26599999999996,435.682,950.3520000000001,4411.816999999997,441.6140000000001,629.9889999999999,427.43699999999995,2671.512,726.2539999999999,256.514,1304.0649999999998,3023.88,216.757,44.51,1061.0110000000002,73.14,179.458,1535.408,179.50000000000003,544.0360000000001,952.3549999999999,703.7120000000002,126.629,124.919,1381.623,1695.713,546.6959999999999,245.43300000000002,53.0,2120.4320000000002,673.888,257.68499999999995,144.137
2025-07-04,30294.576,59.485,272.83700000000005,1373.1849999999995,383.703,431.54900000000004,955.447,4400.036999999999,433.72600000000006,625.987,429.378,2700.3349999999996,730.0219999999999,259.217,1306.1559999999997,3023.429,216.794,44.61,1064.762,70.885,180.483,1551.586,176.90000000000003,545.7390000000001,952.8079999999999,704.2479999999999,129.52700000000002,126.80799999999999,1382.876,1697.957,551.289,245.85,54.9,2130.277,672.256,262.42499999999995,147.103
2025-07-07,30351.560999999998,59.237,272.85,1373.7649999999999,385.3059999999999,435.74999999999994,952.223,4412.374999999998,441.4359999999999,616.134,430.128,2718.061,731.668,260.89799999999997,1310.3470000000002,3002.2589999999996,215.49599999999998,43.41,1066.651,71.314,180.67000000000002,1545.3450000000003,172.2,544.2890000000001,963.4800000000001,705.8,129.227,126.807,1384.451,1699.849,563.227,244.60600000000002,54.5,2148.8269999999998,679.296,263.99899999999997,145.68
2025-07-08,30523.784,59.71999999999999,273.4580000000001,1374.865,385.754,446.23000000000013,955.1729999999999,4437.110000000001,441.05800000000005,619.1320000000001,429.841,2735.2650000000012,730.29,259.173,1313.6589999999999,3010.829,216.541,43.11,1069.216,71.378,180.563,1556.16,176.5,545.563,1007.515,711.8669999999998,128.406,126.41199999999999,1392.1390000000001,1707.6380000000001,565.9380000000001,246.67100000000005,53.9,2155.488,686.039,266.30499999999995,144.87800000000001
2025-07-09,30621.801,60.067,275.935,1371.3619999999999,386.12300000000005,449.98,970.4599999999997,4439.833,440.3430000000001,616.1630000000001,431.0079999999999,2745.548,733.333,260.01800000000003,1313.0919999999999,3006.2859999999987,219.52100000000002,44.11,1070.7909999999995,71.76400000000001,181.90699999999998,1544.779,175.5,546.2039999999998,1047.3680000000002,711.1069999999999,127.60599999999998,127.211,1395.6879999999999,1706.0739999999998,573.1659999999999,248.05300000000003,53.9,2167.47,702.433,264.318,143.28
2025-07-10,30705.403,60.926,278.988,1368.52,386.255,453.53599999999994,964.015,4447.089,439.9790000000001,619.1570000000002,431.15000000000003,2751.6659999999997,736.184,261.28499999999997,1361.392,3009.1620000000003,217.993,45.397,1075.4929999999997,71.957,178.567,1543.0070000000005,175.60000000000002,544.863,1044.7179999999998,714.7649999999999,128.70600000000002,133.802,1391.9429999999998,1713.2150000000001,563.507,247.596,54.0,2177.497,701.055,267.07399999999996,145.344
2025-07-11,30678.051,60.441,271.848,1363.629,386.43100000000004,453.7719999999999,965.1529999999997,4444.707999999999,440.36199999999997,618.238,433.623,2740.806,730.7549999999999,260.33500000000004,1340.3859999999997,3027.956000000001,218.768,44.097,1076.1049999999996,71.807,179.011,1547.2520000000002,179.10000000000002,546.7520000000001,1043.664,710.9119999999999,129.006,134.305,1385.124,1715.329,565.791,248.25600000000003,53.7,2164.4959999999996,710.382,269.466,146.285
2025-07-14,30741.749999999996,60.272,272.179,1359.7139999999995,385.80099999999993,454.439,958.754,4454.728000000001,443.697,626.697,428.89099999999996,2737.2139999999986,736.6050000000001,265.611,1394.1770000000001,3027.047000000001,219.61300000000003,45.346999999999994,1075.685,71.256,179.168,1535.2420000000002,173.3,555.4399999999999,1021.1640000000001,706.5849999999999,129.006,132.503,1400.2309999999998,1714.7189999999998,568.1750000000001,248.29800000000003,53.9,2175.3979999999997,715.264,270.36199999999997,145.268
2025-07-15,30660.639000000003,60.041,270.184,1349.496,388.62999999999994,455.41300000000007,955.349,4439.753000000001,438.338,625.8770000000001,429.56699999999995,2712.129999999999,731.777,266.705,1385.0169999999996,3028.703,218.13299999999998,44.846999999999994,1071.2089999999998,73.278,179.204,1532.106,172.3,552.334,1016.6080000000001,708.4329999999999,129.006,131.11599999999999,1397.157,1716.9719999999998,565.735,246.988,53.8,2181.7439999999997,719.1179999999999,267.847,145.72400000000002
2025-07-16,30748.434,60.053000000000004,270.323,1352.5880000000004,394.98,458.368,959.672,4457.2220000000025,432.05499999999995,633.5960000000001,431.864,2717.614999999999,735.395,268.353,1389.9099999999999,3025.7220000000007,218.21799999999996,44.647000000000006,1078.915,72.778,181.55700000000002,1536.3279999999997,172.4,554.316,1015.0250000000001,708.9689999999998,133.706,133.012,1403.3149999999998,1711.6309999999999,570.388,247.337,54.4,2175.671,732.368,268.76,146.977
